time,fill_level_grams_red,fill_level_grams_blue,fill_level_grams_green
1718713576,190.550591570411,138.1591902098954,710.4334424372073
1718714448,144.4300928448828,680.9830700766396,259.6960358286993
1718714452,133.8057961132806,661.179557858631,244.72970386307802
1718714456,123.51426868451637,641.5190439063645,230.02841276433645
1718714460,113.6052098434756,621.2198634165533,215.11357836972826
1718714464,104.29739421237805,601.4473271986429,199.78735251075364
1718714468,94.32877075367227,581.6446032411277,185.26339483710336
1718714472,84.63578517518302,562.0355693200449,170.35552788788212
1718714476,74.40166795600388,542.2973087943697,155.44378881146028
1718714480,64.88854662412425,523.0065813088274,140.09270316957674
1718714484,54.91398660563196,503.3067776425541,125.00855039448682
1718714488,44.66396307326863,483.25621852753443,109.60075307504326
1718714492,35.5174933659175,463.9237112827081,94.7206889896182
1718714496,25.644434265355166,443.42150618417304,79.65340548076303
1718714500,15.8317465058561,423.60887687867694,64.85905293966655
1718714504,5.824498609172586,403.4115446425218,49.662118536399454
1718714508,0.0,383.5669578937969,34.83330224520785
1718714512,0.0,363.59848543307487,20.002830977810067
1718714516,0.0,343.415599430651,4.746227845144446
1718714520,0.0,323.86781131121126,0.0
1718714524,0.0,304.12018676913453,0.0
1718714528,0.0,283.54053886663854,0.0
1718714532,0.0,263.50863693142963,0.0
1718714536,0.0,243.6020901280187,0.0
1718714540,0.0,223.6014566637131,0.0
1718714544,0.0,203.48866744631403,0.0
1718714548,0.0,183.15952987248713,0.0
1718714552,0.0,163.198786736066,0.0
1718714556,0.0,143.38324968679615,0.0
1718714560,0.0,122.9667432078623,0.0
1718714564,0.0,102.64839447437097,0.0
1718714568,0.0,82.97340496273543,0.0
1718714572,0.0,62.53097462722816,0.0
1718714576,789.9219552091515,42.42893460349203,0.0
1718714580,780.0827230350618,23.026736600936037,0.0
1718714584,770.3756147146105,2.9875487573191997,0.0
1718714588,760.3200036140415,0.0,0.0
1718714592,750.7900197107163,0.0,0.0
1718714596,741.2968730164963,0.0,0.0
1718714600,731.6226383904535,0.0,0.0
1718714604,721.9200632858912,0.0,0.0
1718714608,712.4404458584755,0.0,0.0
1718714612,702.4781822134719,0.0,0.0
1718714616,692.4733941884374,0.0,0.0
1718714620,682.4842047256071,0.0,0.0
1718714624,672.2304094141028,0.0,0.0
1718714628,662.315176143583,0.0,0.0
1718714632,652.3011198443714,0.0,0.0
1718714636,642.3233942381892,0.0,0.0
1718714640,632.2065657903647,0.0,0.0
1718714644,622.1851352441572,0.0,0.0
1718714648,612.4572883749239,0.0,0.0
1718714652,602.2249213043866,0.0,0.0
1718714656,591.8967749055792,0.0,0.0
1718714660,581.5362307046732,0.0,0.0
1718714664,571.7573664626558,0.0,0.0
1718714668,561.6346366156644,0.0,0.0
1718714672,551.6466404780215,0.0,0.0
1718714676,541.1430280175578,0.0,0.0
1718714680,530.5404713749173,0.0,0.0
1718714684,520.872096186559,800.0,0.0
1718714688,511.18625816511565,779.9099454180251,0.0
1718714692,500.8763884634386,760.2127481016364,0.0
1718714696,490.3540369273096,740.627500217145,0.0
1718714700,480.2305122249496,720.2817231561555,0.0
1718714704,470.4368867346288,700.7013730941286,0.0
1718714708,459.78122138324113,680.3356309523941,0.0
1718714712,449.7549273680963,660.6191270494762,0.0
1718714716,440.02367116112896,640.9188959935027,0.0
1718714720,430.2316308105558,620.8138609843905,0.0
1718714724,420.15730324102844,601.2799471317298,0.0
1718714728,410.44429083583816,580.9517221812911,0.0
1718714732,400.2002585986801,560.8838171705193,0.0
1718714736,390.5038592873642,541.4678641949629,0.0
1718714740,380.6446182270547,521.3714160441388,0.0
1718714744,370.4720171547211,501.7181938672428,0.0
1718714748,360.72099843734117,481.5538176579859,0.0
1718714752,351.1332499848246,461.4221481133594,0.0
1718714756,341.04483935614627,441.4690760213854,0.0
1718714760,331.0497511858517,421.1874243436363,0.0
1718714764,320.6930883899345,401.2343226782139,0.0
1718714768,310.686716362648,381.23032726055965,0.0
1718714772,300.09413757499675,360.6665596761802,0.0
1718714776,290.3941750775802,340.63525401025424,0.0
1718714780,280.4207205477959,320.3927975943508,0.0
1718714784,271.1886285851276,300.29458619178075,0.0
1718714788,260.7477373395536,280.2414958708921,0.0
1718714792,250.62204732200564,260.5996489450967,0.0
1718714796,240.57869654158247,240.62542272934553,784.7765583297072
1718714800,230.81217724056526,220.4607722877181,769.6545646499111
1718714804,220.62568059257072,200.70862922830509,754.6600832577838
1718714808,210.42842658553357,180.83992139379137,739.8663381841254
1718714812,200.7166717346052,161.13274270785467,725.1024453438848
1718714816,190.71822916845403,141.27312376143743,710.1494762270968
1718714820,180.54273034917344,121.42279823812137,694.9700975719201
1718714824,169.83585252700433,101.5604965786622,679.8379284608304
1718714828,159.97902634258287,81.60262408009727,665.2134288250169
1718714832,150.31150990307796,61.65169159893381,649.9550952815181
1718714836,139.98555000877477,41.49048507248344,634.9047783564046
1718714840,130.33460933970827,21.656395062292123,619.9133408949041
1718714844,120.50605611011332,1.6379407241735713,605.1425773524063
1718714848,110.75397314823282,0.0,589.584036823304
1718714852,101.02075579058884,0.0,574.1981414586937
1718714856,91.0856553913064,0.0,558.7135952205058
