bottle,time,final_weight
269,1718713578,45.19596473408233
486,1718714446,45.156011721749195
487,1718714450,45.336572790626455
488,1718714454,44.77238472372582
489,1718714458,44.12093795247811
490,1718714462,45.19964507847696
491,1718714466,45.91693377755002
492,1718714470,44.20555273260138
493,1718714474,44.018406537834096
494,1718714478,44.48939645621034
495,1718714482,44.78233174604806
496,1718714486,44.60899747981132
497,1718714490,44.620722317596545
498,1718714494,44.905183218937026
499,1718714498,44.649814286044816
500,1718714502,44.44302734698268
501,1718714506,44.882622809325525
502,1718714510,44.83883628684582
503,1718714514,44.6823059128062
504,1718714518,35.2250755933876
505,1718714522,20.182886002423842
506,1718714526,19.54778811943976
507,1718714530,19.747624542076732
508,1718714534,20.579647902495985
509,1718714538,20.031901935208886
510,1718714542,19.906546803410947
511,1718714546,20.00063346430559
512,1718714550,20.112789217399076
513,1718714554,20.329137573826902
514,1718714558,19.960743136421105
515,1718714562,19.81553704926987
516,1718714566,20.416506478933858
517,1718714570,20.318348733491316
518,1718714574,19.674989511635545
519,1718714578,20.442430335507265
520,1718714582,20.10204002373613
521,1718714586,29.480242793404443
522,1718714590,29.878420017706592
523,1718714594,9.707108320451338
524,1718714598,10.05561110056899
525,1718714602,9.52998390332533
526,1718714606,9.493146694219963
527,1718714610,9.674234626042818
528,1718714614,9.702575104562323
529,1718714618,9.479617427415612
530,1718714622,9.96226364500364
531,1718714626,10.004788025034433
532,1718714630,9.9891894628303
533,1718714634,10.253795311504282
534,1718714638,9.915233270519833
535,1718714642,10.014056299211592
536,1718714646,9.97772560618223
537,1718714650,10.116828447824489
538,1718714654,10.021430546207496
539,1718714658,9.72784686923327
540,1718714662,10.232367070537249
541,1718714666,10.328146398807428
542,1718714670,10.360544200905878
543,1718714674,9.778864242017447
544,1718714678,10.122729846991435
545,1718714682,9.987996137642854
546,1718714686,10.503612460463724
547,1718714690,10.602556642640518
548,1718714694,29.75842977033318
549,1718714698,29.38303533783215
550,1718714702,29.895117586168453
551,1718714706,30.868128597118503
552,1718714710,29.70387476438694
553,1718714714,30.159367632055286
554,1718714718,30.37216925430551
555,1718714722,29.726525071118374
556,1718714726,29.836291216079516
557,1718714730,29.32595420323385
558,1718714734,30.402552519966218
559,1718714738,29.780917415962115
560,1718714742,29.65998521271443
561,1718714746,29.79284746214001
562,1718714750,29.512463237205445
563,1718714754,30.33697728159055
564,1718714758,29.882688262006447
565,1718714762,29.54082054449065
566,1718714766,30.37006230642746
567,1718714770,29.948189835716963
568,1718714774,30.36065821357147
569,1718714778,30.57013961166589
570,1718714782,30.62388445357716
571,1718714786,29.94241891332003
572,1718714790,30.071665932354314
573,1718714794,29.2851822835569
574,1718714798,45.3061798416622
575,1718714802,45.22190991309523
576,1718714806,45.20248261417798
577,1718714810,44.312407434088556
578,1718714814,44.81909732274889
579,1718714818,44.857401809761896
580,1718714822,44.75075245252228
581,1718714826,44.98093720055692
582,1718714830,44.66230011455327
583,1718714834,45.923083864232794
584,1718714838,44.85807559069842
585,1718714842,44.82016042745575
586,1718714846,44.930813446992346
587,1718714850,45.227935536287376
588,1718714854,25.214448594205212
589,1718714858,25.236629200068386
590,1718714862,25.32634602909897
591,1718714866,25.066870782781198
