bottle,dominant_freq_50Hz,dominant_freq_100Hz,dominant_freq_150Hz,is_cracked
705,2.0,4.0,6.0,0
706,2.0,4.0,6.0,0
707,2.0,4.0,6.0,0
708,4.0,8.0,12.0,0
709,-2.0,-4.0,-6.0,0
710,4.0,8.0,12.0,0
711,2.0,4.0,6.0,0
712,4.0,8.0,12.0,0
713,2.0,4.0,6.0,0
714,6.0,12.0,18.0,0
715,-4.0,-8.0,-12.0,0
716,2.0,4.0,6.0,0
717,4.0,8.0,12.0,0
718,2.0,4.0,6.0,0
719,4.0,8.0,12.0,0
720,4.0,8.0,12.0,0
721,2.0,4.0,6.0,0
722,-4.0,-8.0,-12.0,0
723,2.0,4.0,6.0,0
724,2.0,4.0,6.0,0
725,2.0,4.0,6.0,0
726,2.0,4.0,6.0,0
727,2.0,4.0,6.0,0
728,2.0,4.0,6.0,0
729,2.0,4.0,6.0,0
730,2.0,4.0,6.0,0
731,-2.0,-4.0,-6.0,0
732,4.0,8.0,12.0,0
733,2.0,4.0,6.0,0
734,2.0,4.0,6.0,0
735,2.0,4.0,6.0,0
736,2.0,4.0,6.0,0
737,2.0,4.0,6.0,0
738,4.0,8.0,12.0,0
739,2.0,4.0,6.0,0
740,2.0,4.0,6.0,0
741,2.0,4.0,6.0,0
742,2.0,4.0,6.0,0
743,2.0,4.0,6.0,0
744,2.0,4.0,6.0,0
745,2.0,4.0,6.0,0
746,2.0,4.0,6.0,0
747,-2.0,-4.0,-6.0,0
748,2.0,4.0,6.0,0
749,2.0,4.0,6.0,0
750,-14.0,-28.0,-42.0,1
751,2.0,4.0,6.0,0
752,2.0,4.0,6.0,0
753,2.0,4.0,6.0,0
754,2.0,4.0,6.0,0
755,6.0,12.0,18.0,0
756,-2.0,-4.0,-6.0,0
757,4.0,8.0,12.0,0
758,14.0,28.0,42.0,1
759,6.0,12.0,18.0,0
760,4.0,8.0,12.0,0
761,4.0,8.0,12.0,0
762,2.0,4.0,6.0,0
763,-2.0,-4.0,-6.0,0
